,mgrno,mgrname,zipcode
254,6008,CANADA LIFE ASSURANCE CO,
255,6009,ZANKEL MGMT L P,
256,6010,NORWEST VENTURE PARTNERS VI LP,
257,6011,RND RESOURCES INC,
258,6013,MCLEAN BUDDEN LTD,
259,6019,BILL FEW ASSOCIATES INC,
260,6026,WOODTRUST ASSET MGMT NA,
261,6027,TRUST CO OF VERMONT,
262,6028,PASCO INV ADVISORS INC,
263,6029,DURUS CAPITAL MGMT LLC,
264,6032,POPE ASSET MGMT LLC,
265,6033,GREYLOCK LIMITED PARTNERS,
266,6034,RBO & CO LLC,
267,6035,ARROWSTREET CAPITAL,
268,6036,S&T INVT CO,
269,6037,PAULSON & CO INC,
270,6038,HARVEY INVT CO LLC,
271,6039,ARKTOS LLC,
272,6040,NAVIGATOR INVT MGMT LLC,
273,6041,BRIGHTFIELD CAPITAL MGMT LLC,
274,6042,NLI INTL INC,
275,6043,MATRIX PARTNERS V LP,
276,6044,ST JOHN'S INVT MGMT,
277,6045,QUANTLAB CAPITAL MGMT LTD,
278,6046,WOODLEY FARRA MANION MGMT INC,
279,6047,AGNOS GROUP LLC,
280,6048,CONESTOGA CAP ADVISORS LLC,
281,6049,FCA CORP,
282,6050,FORSTMANN ASSET MGMT,
283,6051,HIGHLINE CAPITAL MGMT LLC,
284,6052,C&LEWOOD CAP MGMT LLC,
285,6053,STRAT ASSET MANAGERS LLC,
286,6056,EVNINE & ASSOCIATES INC,
287,6089,REXFORD MGMT INC,
288,6090,REXFORD OFFSHORE LLC,
289,6091,WITMER ASSET MGMT,
290,6092,MOSAIC ASSET MGMT,
291,6093,BNP PARIBAS ARBITRAGE SA,
292,6094,TRISUN ASSET MGMT,
293,6095,HUDSON CANYON INV COUNSELORS L,
294,6098,ADAGE CAPITAL MGMT,
295,6099,DELTA PARTNERS LLC,
296,6100,KITZINGER LAUTMANN CAP MGMT IN,
297,6101,KLEINHEINZ CAP PARTNERS INC,
298,6102,SEIZERT CAP PARTNERS LLC,
299,6103,VANTIS CAPITAL MGMT,
300,6104,URSUS CAPITAL,
301,6105,THOMAS WEISEL ASSET MGMT,
302,6106,WS CAPITAL LLC,
303,6110,BANK OF CALIFORNIA,
304,6114,LUTHERAN BROTHERHOOD RES CORP,
305,6115,AMERICAN FINANCIAL CORP ESOP,
306,6116,HARTFORD STEAM BOILER INSPECTI,
307,6117,CGU VICTOIRE ASSET MGMT,
308,6120,WELLS FARGO VAN KASPER ADVISOR,
309,6121,CHESLEY TAFT & ASSOC LLC,
310,6122,ALTRINSIC GLOBAL ADVISOR,
311,6123,SCEPTER HOLDINGS INC,
312,6124,COLUMBIA MGMT ADVISORS INCNE,
313,6125,VALUEACT CAP PARTNERS LP,
314,6126,HELIX INVT PARTNERS LP,
315,6127,MAXIMUS CAPITAL LLC,
316,6128,PROMETHEAN ASSET MGMT LLC,
317,6129,DENALI ADVISORS LLC,
318,6130,NEEDHAM INVT MGMT LLC,
319,6131,ABRAMS CAPITAL LLC,
320,6132,AQR CAPITAL MGMT LLC,
321,6133,LIBRA ADVISOR,
322,6134,SLATER CAPITAL MGMT LLC,
323,6135,GREEN SQUARE CAP MGMT LLC,
324,6136,KICAP MGMT LP,
325,6137,CJ CAPITAL MGMT LLC,
326,6138,NATIONAL INDEPENDENT TRUST CO,
327,6139,CORUS BANKSHARES,
328,6140,COMMUN FIRST BANKSHARES INC,
329,6141,GREENWICH STR CAPITAL PARTNERS,
330,6142,BRIDGER MGMT,
331,6143,KARSCH CAPITAL LLC,
332,6144,OKABENA ADVISOR,
333,6145,ELM RIDGE CAPITAL MGMT,
334,6146,KENSICO CAPITAL MGMT,
335,6147,HYGROVE MGMT LLC,
336,6148,TEALWOOD ASSET MGMT,
337,6149,3I ASSET MGMT LTD,
338,6150,CI FUND MGMT INC,
339,6151,CORNERSTONE ADVISOR INC,
340,6152,TIGER TECHNOLOGY MGMT LLC,
341,6153,NEEDHAM MGMT PARTNERS LP,
342,6154,MPM BIOEQUITYUITIES ADVISOR LL,
343,6155,STRATEGIC INV MGMT INTL,
344,6156,SPARK LP,
345,6157,AL FRANK ASSET MGMT INC,
346,6158,&OR CAPITAL MGMT,
347,6159,ASCEND CAPITAL,
348,6160,DARWIN CAPITAL PARTNERS,
349,6161,FORT POINT CAP MGMT LLC,
350,6162,GLENVIEW CAPITAL MGMT LLC,
351,6163,GROVER CAPITAL ADVISORS LLC,
352,6164,LEO HOLDINGS LLC,
353,6165,MANGAN & MCCOLL PARTNERS,
354,6166,PETRUS SECURITIES LP,
355,6167,SYNERGY ASSET MGMT INC,
356,6168,TBP ADVISOR LTD,
357,6169,TECHNOLOGY CROSSOVER MGMT IV L,
358,6170,BENCHMARK CAP MGMT CO IV LLC,
359,6171,FOSTER & MOTLEY,
360,6172,LONGFELLOW INV MGMT CO LLC,
361,6173,STADIUM CAPITAL MGMT LLC,
362,6174,CLAIBORNE CAPITAL GROUP LLC,
363,6177,PACIFIC EDGE INV MGMT INC,
364,6178,LLOYDS TSB BANK PLC,
365,6179,W R HUFF ASSET MGMT CO,
366,6193,HOTCHKIS & WILEY CAP MGMT LLC,
367,6194,MERSEREAU CO,
368,6195,BRENCOURT ADVISOR LLC,
369,6196,TRILOGY ADVISORS LLC,
370,6197,FIG ADVISORS LLC,
371,6198,TRADITION CAPITAL MGMT LLC,
372,6199,SDR CAPITAL MGMT INC,
373,6200,AMERICAN BIBLE SOC,
374,6201,ARGUS PARTNERS LLC,
375,6202,GREYSTONE INVT MGMT LLC,
376,6205,TROVE PARTNERS,
377,6206,ERICOTT GROUP LLC,
378,6207,BYRAM CAPITAL MGMT LLC,
379,6208,BLACKTHORN INV GRP LLC,
380,6211,HALCYON OFFSHORE MGMT CO,
381,6500,BANK OF DELAWARE,
382,6600,BANK NEW ENGL& CORP,
383,6700,BANK OF NEW JERSEY,
384,6800,BANK IV KANSAS N A,
385,6820,BANK IV OKLAHOMA N A,
386,6840,BANK OF NEW HAMPSHIRE CO,
387,6890,BANK OF NEW YORK,
388,6895,BANK NY TRUST CO FL NA,
389,6900,BNY/NATIONAL COMMUNITY DIV,
390,7000,BANK ONE SPRINGFIELD,
391,7020,BANK OF OKLAHOMA,
392,7200,BANK OF SOUTH N A,
393,7345,BANK OF TOKYO LTD,
394,7500,BANK ONE OF AKRON NA,
395,7600,BANK ONE OF DAYTON NA,
396,7606,EMPIRE CAPITAL LLC,
397,7607,FIRST NATIONAL TR CO,
398,7608,AMI INVT MGMT INC,
399,7610,BANK ONE INDIANAPOLIS,
400,7611,PANTHER CITY INVT CO,
401,7612,BASS SID,
402,7613,LEE M BASS INC,
403,7614,KEYSTONE INC,
404,7616,WESLEY GUYLAY CAPITAL MGMT LP,
405,7617,BOSTON PRIVATE BK & TRUST CO,
406,7627,LARCH LLC,
407,7628,SONATA CAPITAL GROUP INC,
408,7629,HAHN CAPITAL MGMT,
409,7630,BANK ONE TRUST CO,
410,7631,SPINNER ASSET MGMT LLC,
